epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7599,2.73903,14.2194,1.51079,0.00067,0.25,0.00018,4e-05,2.59102,10.0909,1.71118,0.0001,0.0001,0.0001
2,22.7524,2.67536,12.6444,1.49369,0.00133,0.5,0.0007,0.0003,2.37646,8.9449,1.56082,0.000218548,0.000218548,0.000218548
3,33.6955,2.34442,9.42458,1.36193,0.00133,0.5,0.00113,0.00045,2.4596,7.75608,1.36203,0.000335512,0.000335512,0.000335512
4,44.5236,2.24096,8.97703,1.31725,0.00133,0.5,0.00097,0.00068,1.90088,7.01133,1.09709,0.000450892,0.000450892,0.000450892
5,54.9043,2.11627,9.12673,1.27239,0.00267,1,0.00319,0.00136,1.72613,6.82954,0.95833,0.000564688,0.000564688,0.000564688
6,65.2991,1.82856,7.35569,1.25405,0.00267,1,0.00314,0.00155,2.13398,6.4738,1.02982,0.0006769,0.0006769,0.0006769
7,75.884,1.98736,6.64657,1.21248,0.00267,1,0.00282,0.00097,2.20873,6.76993,1.09456,0.000787528,0.000787528,0.000787528
8,86.5283,1.80167,5.73036,1.20404,0,0,0,0,2.24852,6.88209,1.14148,0.000896572,0.000896572,0.000896572
9,97.2296,1.97251,6.84807,1.18519,0.00067,0.25,0.00017,0.0001,2.18582,7.26391,1.16581,0.00100403,0.00100403,0.00100403
10,108.024,1.98262,7.87518,1.25613,0.00067,0.25,0.00017,3e-05,2.26715,6.26148,1.2062,0.00110991,0.00110991,0.00110991
11,118.574,1.91117,5.5767,1.2002,0.00067,0.25,0.00017,5e-05,2.28225,6.17495,1.26875,0.0012142,0.0012142,0.0012142
12,129.558,1.79562,5.81222,1.15842,0.00067,0.25,0.00017,2e-05,2.60933,6.46581,1.38071,0.00131691,0.00131691,0.00131691
13,140.283,1.96772,6.5624,1.19991,0,0,0,0,2.03294,5.85088,1.2392,0.00141803,0.00141803,0.00141803
14,150.982,1.78256,6.21951,1.18128,0.00133,0.5,0.24642,0.09878,1.98153,5.89985,1.21092,0.00151757,0.00151757,0.00151757
15,161.471,1.88607,10.3019,1.17322,0.00133,0.5,0.24642,0.09878,1.98153,5.89985,1.21092,0.00161553,0.00161553,0.00161553
16,172.152,1.68968,5.01872,1.12625,0.00267,1,0.00307,0.00087,2.15376,5.92274,1.27255,0.0017119,0.0017119,0.0017119
17,182.59,1.85066,6.16457,1.11763,0.00267,1,0.28242,0.10242,1.99,5.1241,1.30763,0.0017888,0.0017888,0.0017888
18,192.749,1.88057,4.70676,1.20691,0.05649,0.75,0.05882,0.01703,2.03359,6.88973,1.21526,0.0017756,0.0017756,0.0017756
19,203.432,1.8081,5.28631,1.13054,0.05649,0.75,0.05882,0.01703,2.03359,6.88973,1.21526,0.0017624,0.0017624,0.0017624
20,213.933,1.74867,5.52334,1.05968,0.08863,0.25,0.13147,0.04212,2.30959,5.38204,1.22991,0.0017492,0.0017492,0.0017492
21,224.641,1.72153,4.35699,1.09937,0.15072,0.25,0.33784,0.27199,2.15343,5.24309,1.23999,0.001736,0.001736,0.001736
