epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.563,4.29101,74.2779,1.13102,0,0,0,0,0,24.94,0,0,0,0
2,58.9956,2.4216,72.1779,0.69508,0,0,0,0,0,24.9497,0,1.41485e-05,1.41485e-05,1.41485e-05
3,64.7457,4.59717,72.9917,1.35688,0,0,0,0,0,24.958,0,2.80141e-05,2.80141e-05,2.80141e-05
4,69.829,1.03922,70.5886,0.32323,0,0,0,0,0,24.9667,0,4.15968e-05,4.15968e-05,4.15968e-05
5,74.8123,2.9648,20.0623,1.17999,0,0,0,0,0,24.9752,0,5.48965e-05,5.48965e-05,5.48965e-05
6,80.2958,3.84945,54.986,1.17141,0,0,0,0,0,24.9846,0,6.79132e-05,6.79132e-05,6.79132e-05
7,85.0957,3.95563,56.6815,0.94966,0,0,0,0,0,24.9929,0,8.0647e-05,8.0647e-05,8.0647e-05
8,90.2622,4.11794,34.2906,1.17289,0,0,0,0,0,24.9994,0,9.30979e-05,9.30979e-05,9.30979e-05
9,95.2456,4.6189,24.9961,1.0261,0,0,0,0,0,25.0046,0,0.000105266,0.000105266,0.000105266
10,100.679,3.87385,30.5368,0.99718,0,0,0,0,0,25.0086,0,0.000117151,0.000117151,0.000117151
11,105.428,4.21803,25.3739,1.00867,0,0,0,0,0,25.012,0,0.000128753,0.000128753,0.000128753
12,110.729,4.92358,50.1326,1.12445,0,0,0,0,0,25.0153,0,0.000140072,0.000140072,0.000140072
13,116.013,3.56036,15.3387,1.06166,0,0,0,0,0,25.0181,0,0.000151108,0.000151108,0.000151108
14,121.033,3.46999,20.2186,0.94794,0,0,0,0,0,25.0218,0,0.000161861,0.000161861,0.000161861
15,126.312,2.03443,37.9044,0.84771,0,0,0,0,0,25.0257,0,0.000172332,0.000172332,0.000172332
16,131.613,2.66862,18.2868,0.82186,0,0,0,0,0,25.0288,0,0.000182519,0.000182519,0.000182519
17,136.829,3.55287,30.4411,0.9214,0,0,0,0,0,25.0321,0,0.000192423,0.000192423,0.000192423
18,141.762,2.67623,12.6558,0.82342,0,0,0,0,0,25.0321,0,0.000202045,0.000202045,0.000202045
19,147.096,1.29884,69.8691,0.68775,0,0,0,0,0,25.0439,0,0.000211383,0.000211383,0.000211383
20,152.413,3.31892,22.0226,0.68271,0,0,0,0,0,25.0439,0,0.000220439,0.000220439,0.000220439
21,157.729,3.42765,18.8756,0.77576,0,0,0,0,0,25.0614,0,0.000229212,0.000229212,0.000229212
22,163.996,2.70989,33.1246,0.83673,0,0,0,0,0,25.0614,0,0.000237701,0.000237701,0.000237701
23,169.496,2.73667,19.5259,1.029,0,0,0,0,0,25.0771,0,0.000245908,0.000245908,0.000245908
24,174.563,2.26076,16.7425,0.98618,0,0,0,0,0,25.0771,0,0.000253832,0.000253832,0.000253832
25,179.979,3.17805,38.5608,0.96396,0,0,0,0,0,25.0898,0,0.000261473,0.000261473,0.000261473
26,185.813,3.39515,12.6221,0.69864,0,0,0,0,0,25.0898,0,0.000268831,0.000268831,0.000268831
27,191.513,2.89842,10.8241,0.77613,0,0,0,0,0,25.1089,0,0.000275906,0.000275906,0.000275906
28,197.346,2.46322,23.5328,0.87612,0,0,0,0,0,25.1089,0,0.000282698,0.000282698,0.000282698
29,202.946,2.89024,17.0104,1.01388,0,0,0,0,0,25.1287,0,0.000289207,0.000289207,0.000289207
30,209.113,2.35968,37.0968,0.83072,0,0,0,0,0,25.1287,0,0.000295433,0.000295433,0.000295433
31,214.846,2.63884,22.6035,0.96483,0,0,0,0,0,25.1418,0,0.000301376,0.000301376,0.000301376
32,220.596,2.96377,24.4142,0.71821,0,0,0,0,0,25.1418,0,0.000307036,0.000307036,0.000307036
33,226.179,3.25947,19.368,0.84505,0,0,0,0,0,25.1537,0,0.000312414,0.000312414,0.000312414
34,231.313,1.90782,20.0958,0.71092,0,0,0,0,0,25.1537,0,0.000317508,0.000317508,0.000317508
